time_s,label,confidence
0.9546,normal,0.505488
1.0523,normal,0.999848
1.1527,normal,0.999989
1.2526,normal,0.999087
1.3529,normal,0.999743
1.4521,normal,0.998198
1.5521,normal,0.997590
1.6523,normal,0.995673
1.7528,normal,0.999774
1.8524,normal,0.999878
1.9522,normal,0.991578
2.0526,normal,0.998274
2.1523,normal,0.999999
2.2524,normal,0.999932
2.3536,normal,0.999935
2.4523,normal,0.986947
2.5526,normal,0.999445
2.6522,normal,0.999999
2.7523,normal,0.999973
2.8529,normal,0.999876
2.9524,normal,1.000000
3.0528,normal,0.999995
3.1525,normal,0.999645
3.2524,normal,0.936787
3.3525,normal,0.990461
3.4532,normal,0.999800
3.5537,normal,0.999983
3.6524,normal,0.999998
3.7526,normal,0.999999
3.8528,normal,0.999998
3.9529,normal,1.000000
4.0523,normal,0.999997
4.1524,normal,0.999875
4.2529,normal,0.999999
4.3525,normal,1.000000
4.4530,normal,1.000000
4.5529,normal,1.000000
4.6524,normal,1.000000
4.7524,normal,1.000000
4.8525,normal,0.999900
4.9526,normal,0.998045
5.0524,normal,0.817218
5.1522,normal,0.848260
5.2525,normal,0.999925
5.3523,normal,0.999948
5.4529,normal,0.999997
5.5526,normal,1.000000
5.6526,normal,1.000000
5.7529,normal,1.000000
5.8527,normal,1.000000
5.9534,normal,0.999999
6.0523,normal,0.999998
6.1529,normal,0.999999
6.2526,normal,0.999999
6.3530,normal,1.000000
6.4530,normal,1.000000
6.5529,normal,0.999998
6.6524,normal,0.999826
6.7530,normal,0.986902
6.8524,normal,0.998962
6.9528,normal,0.998071
7.0530,normal,0.999605
7.1524,normal,0.999996
7.2534,normal,0.999915
7.3524,normal,0.999990
7.4528,normal,0.999999
7.5529,normal,1.000000
7.6526,normal,0.999999
7.7524,normal,0.999997
7.8529,normal,0.999994
7.9529,normal,1.000000
8.0528,normal,0.984953
8.1526,normal,0.999321
8.2531,normal,0.999992
8.3533,normal,0.999836
8.4537,normal,0.999999
8.5529,normal,1.000000
8.6527,normal,0.999936
8.7532,normal,0.999918
8.8531,normal,0.999997
8.9535,normal,0.999996
9.0530,normal,0.999998
9.1530,normal,0.999992
9.2534,normal,0.999991
9.3517,normal,0.999997
9.4517,normal,1.000000
9.5524,normal,0.999969
9.6517,normal,0.999997
9.7553,normal,0.999913
9.8516,normal,0.999881
9.9516,normal,1.000000
10.0519,normal,0.998710
10.1519,normal,0.999939
10.2519,normal,0.999847
10.3516,normal,0.999782
10.4519,normal,1.000000
10.5522,normal,1.000000
10.6518,normal,1.000000
10.7520,normal,0.999897
10.8520,normal,0.999997
10.9528,normal,0.997252
11.0516,normal,0.999969
11.1520,normal,0.999985
11.2542,normal,0.999986
11.3517,normal,0.999996
11.4522,normal,1.000000
11.5521,normal,0.999999
11.6519,normal,0.999991
11.7519,normal,0.999802
11.8519,normal,0.999953
11.9517,normal,0.991772
12.0518,normal,0.999782
12.1516,normal,0.999995
12.2522,normal,0.999966
12.3519,normal,0.999996
12.4521,normal,0.999984
12.5520,normal,0.999940
12.6517,normal,0.999805
12.7520,normal,0.999999
12.8575,normal,0.999899
12.9520,normal,0.999452
13.0520,normal,0.977489
13.1522,normal,0.989102
13.2519,normal,0.999995
13.3519,normal,0.997106
13.4522,normal,0.999999
13.5522,normal,0.999924
13.6519,normal,1.000000
13.7519,normal,0.999962
13.8518,normal,0.949628
13.9518,normal,0.996172
14.0525,normal,0.999796
14.1519,normal,0.999998
14.2519,normal,0.999626
14.3524,normal,0.999999
14.4517,normal,0.999998
14.5521,normal,0.999995
14.6518,normal,0.999995
14.7519,normal,0.999973
14.8521,normal,0.999999
14.9520,normal,0.999973
15.0522,normal,1.000000
15.1518,normal,1.000000
15.2520,normal,0.999977
15.3519,normal,1.000000
15.4518,normal,0.999999
15.5520,normal,1.000000
15.6520,normal,1.000000
15.7520,normal,1.000000
15.8520,normal,0.999989
15.9523,normal,1.000000
16.0524,normal,1.000000
16.1525,normal,1.000000
16.2520,normal,1.000000
16.3521,normal,1.000000
